iter	Passed	Remaining
0	2	219
1	3	195
2	5	186
3	7	176
4	9	174
5	11	178
6	13	175
7	15	175
8	17	174
9	19	172
10	21	171
11	23	168
12	25	167
13	27	166
14	28	163
15	30	160
16	32	157
17	34	154
18	35	152
19	37	151
20	39	149
21	41	147
22	43	145
23	45	143
24	47	141
25	48	138
26	50	137
27	53	137
28	55	135
29	57	133
30	59	132
31	61	130
32	62	127
33	64	125
34	67	124
35	69	123
36	71	121
37	72	119
38	74	117
39	76	115
40	78	112
41	79	109
42	81	107
43	83	105
44	84	103
45	86	102
46	88	100
47	90	98
48	92	96
49	94	94
50	96	92
51	98	90
52	100	89
53	102	87
54	103	84
55	105	83
56	107	81
57	109	79
58	111	77
59	112	75
60	114	73
61	116	71
62	118	69
63	120	67
64	122	65
65	123	63
66	125	61
67	127	59
68	128	57
69	130	55
70	132	54
71	134	52
72	136	50
73	138	48
74	139	46
75	141	44
76	143	42
77	145	40
78	147	39
79	148	37
80	150	35
81	152	33
82	154	31
83	155	29
84	157	27
85	159	25
86	161	24
87	163	22
88	164	20
89	166	18
90	168	16
91	170	14
92	171	12
93	173	11
94	175	9
95	177	7
96	179	5
97	181	3
98	182	1
99	184	0
